Business_ID,Business_Name,Category,Subcategory,Address,Neighborhood,Phone,Rating,Review_Count,Price_Level,Years_in_Business,Market_Position,Estimated_Monthly_Revenue,Growth_Potential,Competitive_Strength,Digital_Presence,Customer_Demographic,Peak_Hours,Expansion_Potential,Market_Share_Est,Seasonal_Impact,Online_Reviews_Sentiment,Parking_Availability,Accessibility,Website_Quality,Social_Media_Presence,Unique_Selling_Proposition,Primary_Competitors,Target_Market,Revenue_Streams,Operating_Hours,Staff_Size,SWOT_Summary
ROC-001,Royal Auto Repair Studio,Services,Auto Repair,"1445 Elmwood Ave, Rochester, NY 14616",Webster,(585) 861-7937,4.2,597,$,13,Strong Competitor,17428,Medium,Strong,Fair,"Local community members, Mixed demographics","Weekdays: 9-11AM, 2-4PM",Low,3.1,High,Mixed,Poor,Full,Basic,Moderate,Specialized auto repair with local market focus,5 similar businesses within 2 miles,Local services consumers and surrounding area,"Primary services, consultations","Mon-Fri: 9AM-6PM, Sat: 9AM-4PM",7,"Strong local presence, good customer service"
ROC-002,Urban Italian Kitchen,Restaurant,Italian,"731 Park Ave, Rochester, NY 14623",Downtown Rochester,(585) 938-8170,4.0,1273,$$,13,Market Leader,67985,Medium,Moderate,Good,"Local residents and workers, Mixed demographics","Lunch: 12-2PM, Dinner: 6-8PM",None,9.4,Low,Mixed,Good,Limited,Basic,Weak,Specialized italian with local market focus,10 similar businesses within 2 miles,Local restaurant consumers and surrounding area,"Dine-in, takeout, catering","Mon-Thu: 11AM-10PM, Fri-Sat: 11AM-11PM, Sun: 12PM-9PM",15,"Strong local presence, good customer service"
ROC-003,Elite Accounting Works,Services,Accounting,"1814 Park Ave, Rochester, NY 14625",Pittsford,(585) 456-1854,3.6,539,$$,17,Strong Competitor,37543,Medium,Weak,Excellent,"Local community members, Mixed demographics","Weekdays: 9-11AM, 2-4PM",High,4.6,High,Mixed,Poor,Limited,Basic,None,Specialized accounting with local market focus,4 similar businesses within 2 miles,Local services consumers and surrounding area,"Primary services, consultations","Mon-Fri: 9AM-6PM, Sat: 9AM-4PM",17,"Strong local presence, good customer service"
ROC-004,Metro Clothing Spot,Retail,Clothing,"1631 Park Ave, Rochester, NY 14649",Downtown Rochester,(585) 583-4678,3.3,841,$,17,Strong Competitor,20936,Medium,Strong,Fair,"Local community members, Mixed demographics","Weekends: 12-4PM, Weekdays: 5-7PM",Medium,2.5,Medium,Mixed,Good,Limited,None,None,Specialized clothing with local market focus,12 similar businesses within 2 miles,Local retail consumers and surrounding area,"Primary services, consultations","Mon-Fri: 9AM-6PM, Sat: 9AM-4PM",3,"Strong local presence, excellent customer service"
ROC-005,Prime Fast Casual Kitchen,Restaurant,Fast Casual,"2261 Monroe Ave, Rochester, NY 14614",Park Avenue,(585) 443-5934,4.3,1173,$$$,24,Market Leader,153319,High,Strong,Poor,"Local residents and workers, Mixed demographics","Lunch: 12-2PM, Dinner: 6-8PM",None,1.4,Medium,Negative,Excellent,Limited,Basic,Moderate,Specialized fast casual with local market focus,7 similar businesses within 2 miles,Local restaurant consumers and surrounding area,"Dine-in, takeout, catering","Mon-Thu: 11AM-10PM, Fri-Sat: 11AM-11PM, Sun: 12PM-9PM",30,"Strong local presence, excellent customer service"
ROC-006,Metro Electronics Corner,Retail,Electronics,"1577 Main St, Rochester, NY 14667",Downtown Rochester,(585) 599-8702,4.5,205,$,17,Strong Competitor,15269,Low,Moderate,Fair,"Local community members, Mixed demographics","Weekends: 12-4PM, Weekdays: 5-7PM",Low,11.3,Medium,Positive,Limited,Full,Professional,Weak,Specialized electronics with local market focus,5 similar businesses within 2 miles,Local retail consumers and surrounding area,"Primary services, consultations","Mon-Fri: 9AM-6PM, Sat: 9AM-4PM",5,"Strong local presence, good customer service"
ROC-007,Classic Electronics Co,Retail,Electronics,"358 Ridge Rd, Rochester, NY 14699",South Wedge,(585) 237-5807,4.8,403,$$$$,5,Moderate Player,192469,High,Strong,Excellent,"Local community members, Mixed demographics","Weekends: 12-4PM, Weekdays: 5-7PM",Low,14.0,Low,Mixed,Poor,Partial,Professional,Moderate,Specialized electronics with local market focus,7 similar businesses within 2 miles,Local retail consumers and surrounding area,"Primary services, consultations","Mon-Fri: 9AM-6PM, Sat: 9AM-4PM",25,"Strong local presence, excellent customer service"
ROC-008,Royal Home Goods Center,Retail,Home Goods,"1901 Monroe Ave, Rochester, NY 14643",Monroe Village,(585) 708-9151,3.6,924,$$,13,Strong Competitor,54774,Low,Moderate,Excellent,"Local community members, Mixed demographics","Weekends: 12-4PM, Weekdays: 5-7PM",None,1.6,Low,Positive,Limited,Partial,Professional,Strong,Specialized home goods with local market focus,8 similar businesses within 2 miles,Local retail consumers and surrounding area,"Primary services, consultations","Mon-Fri: 9AM-6PM, Sat: 9AM-4PM",45,"Strong local presence, good customer service"
ROC-009,Metro Bookstore Corner,Retail,Bookstore,"1931 Main St, Rochester, NY 14693",Corn Hill,(585) 829-8126,3.8,939,$$$,12,Strong Competitor,114265,Low,Strong,Excellent,"Local community members, Mixed demographics","Weekends: 12-4PM, Weekdays: 5-7PM",None,5.8,Low,Negative,Good,Full,Basic,None,Specialized bookstore with local market focus,3 similar businesses within 2 miles,Local retail consumers and surrounding area,"Primary services, consultations","Mon-Fri: 9AM-6PM, Sat: 9AM-4PM",11,"Strong local presence, excellent customer service"
ROC-010,Peak Dance,Fitness,Dance Studio,"2423 Main St, Rochester, NY 14677",Monroe Village,(585) 895-8371,4.4,390,$$,13,Strong Competitor,29964,Medium,Moderate,Excellent,"Health and fitness enthusiasts, Ages 25-55","Morning: 6-8AM, Evening: 5-7PM",Medium,8.2,Medium,Mixed,Limited,Full,Professional,Strong,Specialized dance studio with local market focus,5 similar businesses within 2 miles,Local fitness consumers and surrounding area,"Memberships, personal training, classes","Mon-Fri: 5AM-10PM, Sat-Sun: 7AM-8PM",34,"Strong local presence, average customer service"
